clip_fname,highlight_label,strong_emotion,impactful_dialogue,romantic_gesture,music_swell,plot_turning_point,credits,video_id
clip_000,0,0,0,0,0,0,0,video5
clip_001,0,0,0,0,0,0,0,video5
clip_002,0,0,0,0,0,0,0,video5
clip_003,0,0,0,0,0,0,0,video5
clip_004,0,0,0,0,0,0,0,video5
clip_005,0,0,0,0,0,0,0,video5
clip_006,0,0,0,0,0,0,0,video5
clip_007,1,0,0,0,1,0,0,video5
clip_008,0,0,0,0,0,0,0,video5
clip_009,0,0,0,0,0,0,0,video5
clip_010,0,0,0,0,1,0,0,video5
clip_011,1,1,0,0,0,0,0,video5
clip_012,1,1,0,0,0,0,0,video5
clip_013,0,0,0,0,0,0,0,video5
clip_014,0,0,0,0,0,0,0,video5
clip_015,1,0,0,0,1,0,0,video5
clip_016,0,0,0,0,0,0,0,video5
clip_017,0,0,0,0,0,0,0,video5
clip_018,0,0,0,0,0,0,0,video5
clip_019,0,0,0,0,0,0,0,video5
clip_020,0,0,0,0,0,0,0,video5
clip_021,1,1,0,0,1,0,0,video5
clip_022,1,1,0,0,0,0,0,video5
clip_023,1,1,0,0,0,0,0,video5
clip_024,1,1,0,0,0,0,0,video5
clip_025,0,0,0,0,0,0,0,video5
clip_026,0,0,0,0,0,0,0,video5
clip_027,0,0,0,0,0,0,0,video5
clip_028,0,0,0,0,0,0,0,video5
clip_029,0,0,0,0,0,0,0,video5
clip_030,0,0,0,0,0,0,0,video5
clip_031,1,0,0,0,0,1,0,video5
clip_032,0,0,0,0,0,0,0,video5
clip_033,0,0,0,0,0,0,0,video5
clip_034,0,0,0,0,0,0,0,video5
clip_035,0,0,0,0,0,0,0,video5
clip_036,0,0,0,0,0,0,0,video5
clip_037,0,0,0,0,0,0,0,video5
clip_038,1,1,0,0,0,0,0,video5
clip_039,0,0,0,0,0,0,0,video5
clip_040,0,0,0,0,0,0,0,video5
clip_041,1,1,0,0,1,0,0,video5
clip_042,1,1,0,0,0,0,0,video5
clip_043,1,0,0,0,0,1,0,video5
clip_044,0,0,0,0,0,0,0,video5
clip_000,0,0,0,0,0,0,0,video2
clip_001,0,0,0,0,0,0,0,video2
clip_002,0,0,0,0,0,0,0,video2
clip_003,0,0,0,0,0,0,0,video2
clip_004,0,0,0,0,0,0,0,video2
clip_005,0,0,0,0,0,0,0,video2
clip_006,0,0,0,0,0,0,0,video2
clip_007,1,0,0,1,0,0,0,video2
clip_008,1,0,0,1,0,0,0,video2
clip_009,0,0,0,0,0,0,0,video2
clip_010,0,0,0,0,0,0,0,video2
clip_011,0,0,0,0,0,0,0,video2
clip_012,0,0,0,0,0,0,0,video2
clip_013,0,0,0,0,0,0,0,video2
clip_014,0,0,0,0,0,0,0,video2
clip_015,0,0,0,0,0,0,0,video2
clip_016,0,0,0,0,0,0,0,video2
clip_017,0,0,0,0,0,0,0,video2
clip_018,0,0,0,0,0,0,0,video2
clip_019,1,1,1,0,0,0,0,video2
clip_020,0,0,0,0,0,0,0,video2
clip_021,0,0,0,0,0,0,0,video2
clip_022,0,0,0,0,0,0,0,video2
clip_023,1,1,0,0,0,0,0,video2
clip_024,1,1,1,0,0,0,0,video2
clip_025,0,0,0,0,0,0,0,video2
clip_026,0,0,0,0,0,0,0,video2
clip_027,0,0,0,0,0,0,0,video2
clip_028,0,0,0,0,0,0,0,video2
clip_029,0,0,0,0,0,0,0,video2
clip_030,0,0,0,0,0,0,0,video2
clip_031,0,0,0,0,0,0,0,video2
clip_032,1,1,0,1,0,0,0,video2
clip_033,1,1,0,1,0,0,0,video2
clip_034,0,0,0,0,0,0,0,video2
clip_035,0,0,0,0,0,0,0,video2
clip_036,0,0,0,0,0,0,0,video2
clip_037,0,0,0,0,0,0,0,video2
clip_038,0,0,0,0,0,0,0,video2
clip_039,0,0,0,0,0,0,0,video2
clip_040,0,0,0,0,0,0,0,video2
clip_041,0,0,0,0,0,0,0,video2
clip_042,0,0,0,0,0,0,0,video2
clip_043,0,0,0,0,0,0,0,video2
clip_044,1,1,1,0,0,0,0,video2
clip_045,0,0,0,0,0,0,0,video2
clip_046,0,0,0,0,0,0,0,video2
clip_047,1,0,1,0,0,0,0,video2
clip_048,0,0,0,0,0,0,0,video2
clip_049,0,0,0,0,0,0,0,video2
clip_050,0,0,0,0,0,0,0,video2
clip_051,0,0,0,0,0,0,0,video2
clip_052,0,0,0,0,0,0,0,video2
clip_053,0,0,0,0,0,0,0,video2
clip_054,1,1,0,0,0,0,0,video2
clip_055,0,0,0,0,0,0,0,video2
clip_056,0,0,0,0,0,0,0,video2
clip_057,1,1,0,0,0,0,0,video2
clip_058,0,0,0,0,0,0,0,video2
clip_059,1,0,0,0,1,1,0,video2
clip_060,0,0,0,0,0,0,0,video2
clip_061,0,0,0,0,0,0,0,video2
clip_062,0,0,0,0,0,0,0,video2
clip_063,0,0,0,0,0,0,0,video2
clip_064,0,0,0,0,0,0,0,video2
clip_065,0,0,0,0,0,0,0,video2
clip_066,1,1,0,0,0,0,0,video2
clip_067,1,1,0,0,0,0,0,video2
clip_068,0,0,0,0,0,0,0,video2
clip_069,1,0,1,0,0,0,0,video2
clip_070,1,0,0,0,0,0,0,video2
clip_071,1,1,0,0,0,1,0,video2
clip_072,1,1,0,0,0,0,0,video2
clip_073,0,0,0,0,0,0,0,video2
clip_074,0,0,0,0,0,0,0,video2
clip_000,0,0,0,0,0,0,0,video1
clip_001,0,0,0,0,0,0,0,video1
clip_002,0,0,0,0,0,0,0,video1
clip_003,0,0,0,0,0,0,0,video1
clip_004,0,0,0,0,0,0,0,video1
clip_005,0,0,0,0,0,0,0,video1
clip_006,0,0,0,0,0,0,0,video1
clip_007,0,0,0,0,0,0,0,video1
clip_008,0,0,0,0,0,0,0,video1
clip_009,0,0,0,0,0,0,0,video1
clip_010,1,0,0,0,1,0,0,video1
clip_011,0,0,0,0,0,0,0,video1
clip_012,0,0,0,0,0,0,0,video1
clip_013,0,0,0,0,0,0,0,video1
clip_014,0,0,0,0,0,0,0,video1
clip_015,0,0,0,0,0,0,0,video1
clip_016,0,0,0,0,0,0,0,video1
clip_017,0,0,0,0,0,0,0,video1
clip_018,0,0,0,0,0,0,0,video1
clip_019,0,0,0,0,0,0,0,video1
clip_020,1,1,0,0,1,0,0,video1
clip_021,0,0,0,0,0,0,0,video1
clip_022,0,0,0,0,0,0,0,video1
clip_023,0,0,0,0,0,0,0,video1
clip_024,0,0,0,0,0,0,0,video1
clip_025,0,0,0,0,0,0,0,video1
clip_026,0,0,0,0,0,0,0,video1
clip_027,0,0,0,0,0,0,0,video1
clip_028,0,0,0,0,0,0,0,video1
clip_029,0,0,0,0,0,0,0,video1
clip_030,0,0,0,0,0,0,0,video1
clip_031,0,0,0,0,0,0,0,video1
clip_032,1,1,0,0,1,0,0,video1
clip_033,0,0,0,0,0,0,0,video1
clip_034,0,0,0,0,0,0,0,video1
clip_035,0,0,0,0,0,0,0,video1
clip_036,0,0,0,0,0,0,0,video1
clip_037,0,0,0,0,0,0,0,video1
clip_038,0,0,0,0,0,0,0,video1
clip_039,0,0,0,0,0,0,0,video1
clip_040,0,0,0,0,0,0,0,video1
clip_041,1,1,0,0,0,0,0,video1
clip_042,0,0,0,0,0,0,0,video1
clip_043,0,0,0,0,0,0,0,video1
clip_044,0,0,0,0,0,0,0,video1
clip_045,0,0,0,0,0,0,0,video1
clip_046,0,0,0,0,0,0,0,video1
clip_047,0,0,0,0,0,0,0,video1
clip_048,0,0,0,0,0,0,0,video1
clip_049,0,0,0,0,0,0,0,video1
clip_050,1,1,0,0,0,0,0,video1
clip_051,0,0,0,0,0,0,0,video1
clip_052,1,1,0,0,0,0,0,video1
clip_053,0,0,0,0,0,0,0,video1
clip_054,1,1,1,0,0,0,0,video1
clip_055,1,1,0,0,0,0,0,video1
clip_056,0,0,0,0,0,0,0,video1
clip_057,0,0,0,0,0,0,0,video1
clip_058,0,0,0,0,0,0,0,video1
clip_059,0,0,0,0,0,0,0,video1
clip_060,1,1,0,0,0,0,0,video1
clip_061,1,1,0,0,0,0,0,video1
clip_062,1,1,0,0,0,0,0,video1
clip_063,1,1,0,0,0,0,0,video1
clip_064,1,1,0,0,0,0,0,video1
clip_065,1,0,0,1,0,0,0,video1
clip_066,1,0,0,1,0,0,0,video1
clip_067,1,0,0,1,0,0,0,video1
clip_068,1,0,0,1,0,0,0,video1
clip_069,0,0,0,0,0,0,0,video1
clip_070,0,0,0,0,0,0,0,video1
clip_071,0,0,0,0,0,0,0,video1
clip_072,1,1,0,0,0,0,0,video1
clip_073,0,0,0,0,0,0,0,video1
clip_074,0,0,0,0,0,0,0,video1
clip_075,0,0,0,0,0,0,0,video1
clip_076,0,0,0,0,0,0,0,video1
clip_077,0,0,0,0,0,0,0,video1
clip_078,0,0,0,0,0,0,0,video1
clip_079,0,0,0,0,0,0,0,video1
clip_080,0,0,0,0,0,0,0,video1
clip_081,0,0,0,0,0,0,0,video1
clip_000,1,1,0,0,0,0,0,video3
clip_001,0,0,0,0,0,0,0,video3
clip_002,0,0,0,0,0,0,0,video3
clip_003,0,0,0,0,0,0,0,video3
clip_004,0,0,0,0,0,0,0,video3
clip_005,1,1,1,0,0,0,0,video3
clip_006,1,1,1,0,0,0,0,video3
clip_007,0,0,0,0,0,0,0,video3
clip_008,0,0,0,0,0,0,0,video3
clip_009,0,0,0,0,0,0,0,video3
clip_010,0,0,0,0,0,0,0,video3
clip_011,0,0,0,0,0,0,0,video3
clip_012,0,0,0,0,0,0,0,video3
clip_013,0,0,0,0,0,0,0,video3
clip_014,0,0,0,0,0,0,0,video3
clip_015,0,0,0,0,0,0,0,video3
clip_016,0,0,0,0,0,0,0,video3
clip_017,0,0,0,0,0,0,0,video3
clip_018,0,0,0,0,0,0,0,video3
clip_019,0,0,0,0,0,0,0,video3
clip_020,0,0,0,0,0,0,0,video3
clip_021,0,0,0,0,0,0,0,video3
clip_022,0,0,0,0,0,0,0,video3
clip_023,0,0,0,0,0,0,0,video3
clip_024,1,1,0,0,0,0,0,video3
clip_025,1,1,1,0,0,0,0,video3
clip_026,0,0,0,0,0,0,0,video3
clip_027,0,0,0,0,0,0,0,video3
clip_028,0,0,0,0,0,0,0,video3
clip_029,0,0,0,0,0,0,0,video3
clip_030,0,0,0,0,0,0,0,video3
clip_031,1,0,1,0,0,0,0,video3
clip_032,0,0,0,0,0,0,0,video3
clip_033,0,0,0,0,0,0,0,video3
clip_034,0,0,0,0,0,0,0,video3
clip_035,0,0,0,0,0,0,0,video3
clip_036,1,1,1,0,0,0,0,video3
clip_037,1,0,1,0,0,0,0,video3
clip_038,1,1,1,0,0,0,0,video3
clip_039,0,0,0,0,0,0,0,video3
clip_040,0,0,0,0,0,0,0,video3
clip_041,1,1,0,0,0,0,0,video3
clip_042,0,0,0,0,0,0,0,video3
clip_043,0,0,0,0,0,0,0,video3
clip_044,1,1,0,0,0,0,0,video3
clip_045,1,1,0,0,1,0,0,video3
clip_046,0,0,0,0,0,0,0,video3
clip_047,0,0,0,0,0,0,0,video3
clip_048,1,1,0,0,0,0,0,video3
clip_049,1,1,0,0,0,0,0,video3
clip_050,0,0,0,0,0,0,0,video3
clip_051,0,0,0,0,0,0,0,video3
clip_052,0,0,0,0,0,0,0,video3
clip_053,0,0,0,0,0,0,0,video3
clip_054,0,0,0,0,0,0,0,video3
clip_055,0,0,0,0,0,0,0,video3
clip_056,0,0,0,0,0,0,0,video3
clip_057,0,0,0,0,0,0,0,video3
clip_058,0,0,0,0,0,0,0,video3
clip_059,0,0,0,0,0,0,0,video3
clip_060,0,0,0,0,0,0,0,video3
clip_061,0,0,0,0,0,0,0,video3
clip_062,1,0,0,1,0,0,0,video3
clip_063,0,0,0,0,0,0,0,video3
clip_064,0,0,0,0,0,0,0,video3
clip_065,0,0,0,0,0,0,0,video3
clip_066,0,0,0,0,0,0,0,video3
clip_067,0,0,0,0,0,0,0,video3
clip_068,0,0,0,0,0,0,0,video3
clip_069,0,0,0,0,0,0,0,video3
clip_070,1,0,1,0,0,0,0,video3
clip_071,0,0,0,0,0,0,0,video3
clip_072,1,0,0,0,0,1,0,video3
clip_073,1,0,0,0,0,1,0,video3
clip_074,0,0,0,0,0,0,0,video3
clip_000,0,0,0,0,0,0,0,video4
clip_001,0,0,0,0,0,0,0,video4
clip_002,0,0,0,0,0,0,0,video4
clip_003,0,0,0,0,0,0,0,video4
clip_004,0,0,0,0,0,0,0,video4
clip_005,0,0,0,0,0,0,0,video4
clip_006,0,0,0,0,0,0,0,video4
clip_007,0,0,0,0,0,0,0,video4
clip_008,1,0,0,0,1,0,0,video4
clip_009,0,0,0,0,0,0,0,video4
clip_010,0,0,0,0,0,0,0,video4
clip_011,0,0,0,0,0,0,0,video4
clip_012,0,0,0,0,0,0,0,video4
clip_013,0,0,0,0,0,0,0,video4
clip_014,0,0,0,0,0,0,0,video4
clip_015,0,0,0,0,0,0,0,video4
clip_016,0,0,0,0,0,0,0,video4
clip_017,0,0,0,0,0,0,0,video4
clip_018,1,1,0,1,0,0,0,video4
clip_019,0,0,0,0,0,0,0,video4
clip_020,0,0,0,0,0,0,0,video4
clip_021,1,1,0,0,0,0,0,video4
clip_022,0,0,0,0,0,0,0,video4
clip_023,1,1,0,1,0,0,0,video4
clip_024,0,0,0,0,0,0,0,video4
clip_025,1,1,0,0,0,0,0,video4
clip_026,0,0,0,0,0,0,0,video4
clip_027,0,0,0,0,0,0,0,video4
clip_028,0,0,0,0,0,0,0,video4
clip_029,1,0,1,0,0,0,0,video4
clip_030,0,0,0,0,0,0,0,video4
clip_031,0,0,0,0,0,0,0,video4
clip_032,1,0,0,0,0,1,0,video4
clip_033,1,0,0,0,0,1,0,video4
